# V_eff [Jy]
6.609938984883825697e+00 6.134641891521232182e+00
4.584062418275534512e+00 4.014799514698332850e+00
2.261783982343788857e+00 1.729784179542175337e+00
1.551697879804819991e+00 1.964944735678680221e+00
3.210063590022333546e+00 3.787751119703686165e+00
4.565229667961363091e+00 5.007045808693561639e+00
5.384331173569168350e+00 5.712884253615509778e+00
5.957982369813787926e+00 6.173198559352864656e+00
6.198595004030929445e+00 6.384828269341632279e+00
5.955544623453866038e+00 6.354803379555213461e+00
5.272633570608799225e+00 6.255053881360396417e+00
4.908157652530481307e+00 6.468976580910136498e+00
5.904287602110326993e+00 7.265363838779173022e+00
7.702633685214911097e+00 8.388017927932814644e+00
9.395117277259279476e+00 9.503915471455453456e+00
1.072746829719645589e+01 1.045928585503433794e+01
1.166003063166370879e+01 1.119225474936620479e+01
1.218908746943648325e+01 1.164950904916370433e+01
1.239626380399918304e+01 1.185883548132552079e+01
1.233184924513257386e+01 1.183972903929857878e+01
1.204940408688633902e+01 1.163060658332241459e+01
1.151313950527606877e+01 1.119408728758533123e+01
1.075248456558270860e+01 1.057834433226535964e+01
9.730706240058168532e+00 9.763964719189974772e+00
8.624824013057510896e+00 8.746484316107997259e+00
7.232572235459786114e+00 7.520193877611166755e+00
6.008233989748850590e+00 6.419468114808192460e+00
5.697349073871476044e+00 5.931255961554906087e+00
6.461308812435771820e+00 6.521590524211619666e+00
7.463998660495671622e+00 7.571826647374268582e+00
8.196452215890042581e+00 8.369120715442262437e+00
8.670494187406930564e+00 8.844556557918513917e+00
8.929318915291862169e+00 9.074630864779202000e+00
8.926130333091014890e+00 9.060283200617918808e+00
8.656609473974963720e+00 8.825048660881742890e+00
8.148472447148630948e+00 8.403266351389994782e+00
7.489196831761758766e+00 7.869101711070641159e+00
6.782374964262588790e+00 7.282885039608933297e+00
6.124096500853479341e+00 6.693389295765477698e+00
5.474261318389105568e+00 6.074362242957785263e+00
4.724770737055564496e+00 5.379728806932456919e+00
3.898436573671471450e+00 4.651578534615776306e+00
3.081389646176417862e+00 3.888712875231049360e+00
2.498314050496747818e+00 3.226281465537008231e+00
2.155250363719395601e+00 2.722406447021615161e+00
2.032995673745189080e+00 2.476456269294710300e+00
2.019233130076339755e+00 2.594588129185956937e+00
2.209653873025512638e+00 2.996342925637341281e+00
2.724485161472026462e+00 3.552422225099530095e+00
3.481669618831251256e+00 4.175061972977713864e+00
4.326243191394746113e+00 4.825957079356488322e+00
5.167635310533869486e+00 5.471897065604803601e+00
