# V_eff [Jy]
5.789657313653723492e+00 6.360044760642065143e+00
4.735324273082916591e+00 5.244407351397697425e+00
3.198194797990060234e+00 3.499078388043203258e+00
2.339067621950099429e+00 1.911745688550004152e+00
3.094683846083609691e+00 2.262980680696889735e+00
4.015628056671866730e+00 3.459453534832044763e+00
4.597498105564564952e+00 4.382085083943456638e+00
4.859694168879083342e+00 4.842997338043050881e+00
4.982191336219546685e+00 4.818038758967311708e+00
5.340859055491947949e+00 4.560377034719384604e+00
6.222282168100524480e+00 4.742767349677930788e+00
7.488296812978338934e+00 5.745925126472865685e+00
8.793850357055116973e+00 7.152572501565535923e+00
9.825742969339241739e+00 8.462780419637974560e+00
1.043242025567646181e+01 9.407660639374055833e+00
1.059054709640661507e+01 9.940359609174095112e+00
1.039752062001338473e+01 1.010771040034942025e+01
1.007663528549572796e+01 1.010130725308785671e+01
9.704592152726693399e+00 9.948558397058496539e+00
9.385441357024664200e+00 9.731919775769494407e+00
9.170424583522347461e+00 9.502544615255011706e+00
8.905202847836299895e+00 9.183227032245017796e+00
8.434085652769812924e+00 8.692347449329066222e+00
7.676723715345926458e+00 7.998617461790176186e+00
6.592322896246322728e+00 7.055383754914089423e+00
5.280053416056571969e+00 5.926037349819599953e+00
3.813711073864334722e+00 4.627641977635603254e+00
2.247096237984690603e+00 3.171223021745507076e+00
8.879504844949761555e-01 1.629845692707397209e+00
1.312757341894598584e+00 7.579831491080365469e-01
2.798138273987548885e+00 1.896108752600704772e+00
4.281339447164305589e+00 3.421576671615684795e+00
5.542897180770800958e+00 4.808439067380937182e+00
6.412259995411158542e+00 5.876364642333218313e+00
6.796749848259459270e+00 6.493503678045676075e+00
6.743439898087201456e+00 6.649832532564795784e+00
6.382494226866015197e+00 6.397591733158742855e+00
5.835547182511023223e+00 5.785741158188216104e+00
5.256248448021732855e+00 4.957974351563856352e+00
4.901540516355018973e+00 4.386046494537055196e+00
4.676595453355571586e+00 4.310769447866186432e+00
