# V_eff [Jy]
1.496571003449200354e+01 1.395873501351366031e+01
1.146518276094962374e+01 1.069318133043115715e+01
7.871088640085663890e+00 7.934938566858988906e+00
9.278699116409930170e+00 1.003187907494632825e+01
1.191413441549891772e+01 1.259985605482055071e+01
1.295417005541738042e+01 1.365962951846007556e+01
1.373627058206285412e+01 1.425544831560850056e+01
1.471922833813660603e+01 1.489284803551163705e+01
1.562780385887869983e+01 1.553334121990768146e+01
1.617152307580489534e+01 1.597779374042839429e+01
1.626697573164147315e+01 1.612527883902626513e+01
1.591931813387802208e+01 1.591615760817299119e+01
1.516287427279390698e+01 1.530986606619951118e+01
1.403581293506288574e+01 1.428386175141687531e+01
1.259465208529297087e+01 1.286758984255397920e+01
1.090278559802391456e+01 1.111606957164431364e+01
9.042614203694490982e+00 9.097227081066968424e+00
7.377205484511838662e+00 7.094175316900052763e+00
6.687808944028226676e+00 5.835328902369253612e+00
7.876783320572512181e+00 6.460873886871086214e+00
1.025583881259357000e+01 8.650846425217693536e+00
1.270122712262886822e+01 1.108597341192411712e+01
1.476794784641962721e+01 1.320798959362049274e+01
1.611822535159512526e+01 1.476304490013161086e+01
1.636461154395788498e+01 1.553420215628297640e+01
1.517978682761708242e+01 1.530758294039256739e+01
1.250696582595335826e+01 1.390349743777913361e+01
9.178867389449479219e+00 1.147480523751945647e+01
7.490254306839362997e+00 9.080339276915747604e+00
8.683019376087180774e+00 8.383276702731173202e+00
1.084970316619432928e+01 9.478333019050589670e+00
1.261506184333505942e+01 1.110079003640047723e+01
1.376549198498321225e+01 1.246634031294856015e+01
1.439619393848535367e+01 1.339381346162237207e+01
1.460926690199652533e+01 1.389023596919327019e+01
1.450717794921029125e+01 1.402578635145622599e+01
1.423730025665050292e+01 1.395127482115560369e+01
1.383888563500017810e+01 1.371329450678126349e+01
1.336434811698992675e+01 1.336230769465714907e+01
1.289562031429907485e+01 1.299270645976142013e+01
1.243941979393758501e+01 1.260170252532338786e+01
1.208777941874844686e+01 1.227133191909799237e+01
1.193426932873364521e+01 1.210398204788785925e+01
1.204909306731607899e+01 1.219970247324100932e+01
1.245599919576526737e+01 1.260150513571416653e+01
1.300629340615002860e+01 1.314630059570742482e+01
1.356552071809052684e+01 1.367822728002447974e+01
