# V_eff [Jy]
1.232701637294602293e+01 1.380980836431117176e+01
1.087898571255443869e+01 1.230758364685781103e+01
9.545497145712712239e+00 1.084510627564990060e+01
8.400446713556748435e+00 9.458201038973452768e+00
7.459911707729526498e+00 8.169251095292766607e+00
6.680986406292521274e+00 7.003304086378674853e+00
5.969582010450250387e+00 5.969892014038236994e+00
5.193914644440086548e+00 5.013893919232482510e+00
4.415414987153994275e+00 4.222452725870070367e+00
4.005775547645546553e+00 3.921656051418665800e+00
4.134753532549209076e+00 4.036464290755328754e+00
4.235102183433467005e+00 3.931534915907467287e+00
3.797746607269534280e+00 3.334842408770316347e+00
3.345680600686464778e+00 3.353007026478594277e+00
4.278713568929791045e+00 4.418237375898545594e+00
5.569928346730732116e+00 5.381250326999923672e+00
6.408802269123458295e+00 5.952336869288222587e+00
6.788103849030326487e+00 6.110820869334473215e+00
6.835809214842317516e+00 5.962382183638850641e+00
6.611738003846214795e+00 5.558893853910114480e+00
6.120249812947144541e+00 4.941961843326774684e+00
5.426992756884580160e+00 4.300576989405083594e+00
4.809527767617662874e+00 3.971890091437182413e+00
4.311634293282895491e+00 3.775583146328222561e+00
4.800943799092465269e+00 4.917591352331098342e+00
4.471179363162915976e+00 4.804076994703313730e+00
3.559946069499311694e+00 4.082018350997085321e+00
2.524728440505366933e+00 3.274183543083977632e+00
2.253539310675439555e+00 2.952185622633202833e+00
3.526257158447686280e+00 3.965783552205335738e+00
5.083638787937903913e+00 5.466350709261948992e+00
6.660130893461413848e+00 6.999902737662965002e+00
8.099550314789166094e+00 8.351829239289633833e+00
9.289394940782791821e+00 9.413084087262145516e+00
1.017667664178582143e+01 1.014663748357154383e+01
1.075472620636645793e+01 1.056099305968319335e+01
1.101029130380228693e+01 1.065799212767645443e+01
1.096019954167978128e+01 1.047330732528068964e+01
1.061598372434428939e+01 1.003104280998383757e+01
9.961340661401914431e+00 9.314059961138347887e+00
8.908646643379555030e+00 8.238359910464193803e+00
7.323530715898607824e+00 6.726177063541664225e+00
5.132548831606179363e+00 4.924721819295862169e+00
3.793982292077840768e+00 4.283642077848902829e+00
5.584875933049753272e+00 6.028310392535058959e+00
7.550087280349480956e+00 7.791773350574573875e+00
8.087584264680568680e+00 8.428373445121152940e+00
7.683212534657508641e+00 8.159123550040959572e+00
6.783971762541252559e+00 7.245414789822307355e+00
5.705102244896878005e+00 5.963171631362296665e+00
4.586785828585260738e+00 4.579849538096732786e+00
3.269940685843934602e+00 3.247188904487007477e+00
