# V_eff [Jy]
7.175436387765621760e+00 7.482332682986438499e+00
6.732238330640421431e+00 6.890294313542071336e+00
6.683374764465800588e+00 6.822989886142877936e+00
6.793561491533821162e+00 7.001309888876090071e+00
6.960162173082366621e+00 7.236382410121281694e+00
7.232077613042418918e+00 7.554534569108723119e+00
7.652440347178704805e+00 8.012699792570018076e+00
8.243068049012080678e+00 8.633298014592588387e+00
9.008188236215580957e+00 9.409999554611133021e+00
9.948433178502508412e+00 1.032534305890880333e+01
1.104686263713582584e+01 1.135673909291345929e+01
1.224413081894451594e+01 1.244459904707656683e+01
1.346493356622379522e+01 1.351591397438562758e+01
1.463572989883049758e+01 1.450995194845246594e+01
1.567247071351616938e+01 1.535746964340711429e+01
1.647413089367985961e+01 1.597935264912212538e+01
1.692390066686211370e+01 1.626997425322448265e+01
1.701481232161749091e+01 1.623753787468193366e+01
1.668731278853299926e+01 1.581931907270466908e+01
1.589426811691717134e+01 1.498385349790644128e+01
1.465651289688485903e+01 1.376771175733891894e+01
1.302021540945620615e+01 1.224395976030590205e+01
1.112485275072455870e+01 1.058006412997950463e+01
9.278595864463341059e+00 9.088178782296500557e+00
8.010983736865219029e+00 8.175351322079654537e+00
7.743782852242944159e+00 8.025422802712995463e+00
7.974910405463178975e+00 8.179884778908686371e+00
8.085647186999839420e+00 8.246903729581809728e+00
8.018069145696987476e+00 8.194130133901813551e+00
7.880588455074395426e+00 8.099550152932858182e+00
7.685586322169315032e+00 7.954847841631654148e+00
7.431972561670875166e+00 7.751350657819315870e+00
7.089697606842567446e+00 7.456467779982203226e+00
6.645600465332255347e+00 7.077280360197384823e+00
6.142005411723655328e+00 6.665289890191257172e+00
5.616869443669157747e+00 6.248366818717362214e+00
5.042939851492982406e+00 5.746661016388248555e+00
4.301855308793120614e+00 5.015516126191538859e+00
3.264281847891986832e+00 4.100050577560560683e+00
2.079439684995755044e+00 3.567276632646430023e+00
2.590207138540776555e+00 4.070049948360535907e+00
