# V_eff [Jy]
6.776426792776726771e+00 5.923287111228439983e+00
7.641271684553258225e+00 6.838880625291466231e+00
6.781643713519303063e+00 5.462293871268704137e+00
5.587835291550720562e+00 4.577391724850952137e+00
4.972683581033612299e+00 5.506736064028874722e+00
5.564151774764536817e+00 7.514440020301835332e+00
8.005406132435011202e+00 1.010688280515759807e+01
1.134391309539096326e+01 1.278861582136777386e+01
1.447995192697897338e+01 1.518322430106562493e+01
1.677451006830850133e+01 1.692854107884881287e+01
1.801131676798571846e+01 1.788028206259428998e+01
1.835644045764835752e+01 1.819477955162958693e+01
1.845354435824020101e+01 1.842080291928294500e+01
1.894925198761412943e+01 1.903774982014526174e+01
1.983924161676921116e+01 1.994408710146520036e+01
2.064654163020045274e+01 2.066636364178356899e+01
2.094625601550866634e+01 2.081187029335060856e+01
2.044459471462347011e+01 2.011173595315742801e+01
1.906962211220463743e+01 1.853619303136646579e+01
1.686444626625221588e+01 1.619719309021827058e+01
1.398780040705383954e+01 1.333999860413482352e+01
1.058089768300866318e+01 1.016891854532664041e+01
6.846992393808575272e+00 6.814655447783618314e+00
3.914556764739872019e+00 3.611514849036677965e+00
5.672548000270760227e+00 3.829960261007811617e+00
8.696986829487995507e+00 7.051467894020066574e+00
1.022344195590813243e+01 9.043961684502132670e+00
1.132226960914227121e+01 9.829368568959036878e+00
1.293180649749644573e+01 1.103024764710821515e+01
1.477699385183654002e+01 1.283810373764903900e+01
1.639524496228582962e+01 1.466445181595775082e+01
1.758678316843525025e+01 1.616047978038010768e+01
1.830709032431630234e+01 1.721308935489288672e+01
1.861455621897322388e+01 1.783101440917640801e+01
1.863675349833633277e+01 1.811466862490839702e+01
1.847373185263076323e+01 1.814955349700428044e+01
1.822485756004919466e+01 1.803283001888148362e+01
1.790872963828932996e+01 1.779940704831657428e+01
1.754820371115241784e+01 1.749674164650659947e+01
1.711301822968154340e+01 1.711430173756576778e+01
1.656513421145573517e+01 1.662228672453036893e+01
1.589548848166589323e+01 1.600545345916943418e+01
1.516893596827156898e+01 1.532269729489529553e+01
1.438402377061060555e+01 1.457147679280252817e+01
1.357220802150195382e+01 1.380270202494175713e+01
1.273290697285733586e+01 1.306105693591812766e+01
1.192854828483184093e+01 1.243821298987780466e+01
