# V_eff [Jy]
8.561005505036199281e+00 8.395344112032230299e+00
8.233717216460011201e+00 8.121282255387693993e+00
7.763808134341532607e+00 7.768967347020476311e+00
6.986281753880108525e+00 7.209572419680950972e+00
5.712251172466947580e+00 6.241166927717546997e+00
4.146879087993256441e+00 4.864436275448813518e+00
3.619656682330777642e+00 3.841959590320106255e+00
4.807289233189756317e+00 4.362691733783210069e+00
6.295180562965074778e+00 5.871640578953638112e+00
7.400317499654239128e+00 7.259421237711313424e+00
8.131208780997646102e+00 8.295433550018127988e+00
8.595465754512007450e+00 9.019221062883936213e+00
8.961555281889964419e+00 9.562570054735807901e+00
9.372894253249103969e+00 1.004957702777725004e+01
9.845663232133727405e+00 1.050370606877445034e+01
1.032602471983468284e+01 1.090516359982587247e+01
1.070010707467170974e+01 1.118231721329597583e+01
1.087178568704749893e+01 1.125854351351171090e+01
1.084711649337801909e+01 1.114869525356193769e+01
1.062641827036056696e+01 1.084569998394870893e+01
1.019596960633909433e+01 1.034051562567885796e+01
9.577995188768195334e+00 9.678026148868784873e+00
8.706961256428805029e+00 8.794761486493634095e+00
7.752438693297820649e+00 7.844896451928972780e+00
7.005502937613269587e+00 7.095725404255536439e+00
6.771322876825051296e+00 6.824180671067230364e+00
7.234035473929743887e+00 7.209940219509097581e+00
8.170072101161077072e+00 8.080389158412426553e+00
9.136783183195930746e+00 9.025174697945612223e+00
9.907439689180565168e+00 9.792528443812450689e+00
1.051989410768802102e+01 1.041141961398796667e+01
1.090198371958618040e+01 1.081721896072347278e+01
1.098012406469615243e+01 1.093504112406956175e+01
1.076419544637784753e+01 1.076700107855099908e+01
1.033777670153721040e+01 1.038072491967056088e+01
9.775066389034027026e+00 9.842069003890063783e+00
9.081953509425826354e+00 9.161468305698441839e+00
8.223207816051397501e+00 8.315019119640050249e+00
7.210433316671901238e+00 7.333390043208013687e+00
6.023755289893522047e+00 6.232762425513787008e+00
4.586706351503931245e+00 4.977475313807671498e+00
2.895836157623119966e+00 3.553654568527511159e+00
2.152023466764878545e+00 2.044276915822141660e+00
2.951134305292064219e+00 2.519554172683457161e+00
4.001020840668799039e+00 3.878927876975275524e+00
5.234837067816050293e+00 5.169871827518661256e+00
6.484895890933502827e+00 6.417663115978616162e+00
7.626306140178630955e+00 7.585780149785199100e+00
8.615861629032117719e+00 8.639074812864119934e+00
9.446420442797272443e+00 9.532450604396913718e+00
1.013237839276673391e+01 1.024557379166462567e+01
1.064017529610695867e+01 1.072756882006781787e+01
1.089023456087500108e+01 1.092812663451772970e+01
1.084493197398681019e+01 1.083467278286936164e+01
1.047130849352409143e+01 1.045022544246226026e+01
9.832292364318799827e+00 9.859325248335164105e+00
9.080322686530156062e+00 9.191910089178985999e+00
8.400234541207520778e+00 8.590797016571528388e+00
7.897099629071982818e+00 8.128050007869784821e+00
7.651269670125695477e+00 7.895690684267539616e+00
7.619663697217142762e+00 7.865143948712626454e+00
7.593688497170277607e+00 7.841974338070447637e+00
7.511685684431443022e+00 7.759870083632993243e+00
7.419188620828385261e+00 7.604064861357234584e+00
7.397015554905223667e+00 7.400586919333290936e+00
7.575769221324699210e+00 7.285282839465214266e+00
8.053042158104560144e+00 7.525053633703507217e+00
8.768787025349002562e+00 8.195404232903115371e+00
9.573178841492786972e+00 9.085627625668019292e+00
1.036813662025526384e+01 1.001346668144146079e+01
1.111364229893432665e+01 1.091564023895212898e+01
1.176335790738100329e+01 1.174137251062822429e+01
1.236258001848577948e+01 1.250317651619938353e+01
1.295924896241504776e+01 1.320453677843632789e+01
1.354512598910464938e+01 1.382652906767859591e+01
1.410509580209677694e+01 1.438326759825856982e+01
1.465227526647538880e+01 1.493561253532378785e+01
1.509699772980947508e+01 1.542024115950352936e+01
1.550565769561222496e+01 1.591123633096199441e+01
1.588404542965932720e+01 1.638351478200897304e+01
1.627672291693495765e+01 1.683756252613105886e+01
1.676466630801880342e+01 1.732507577585599989e+01
1.736960999517966187e+01 1.786128126463425403e+01
1.808089240128095554e+01 1.845087768682124718e+01
1.884511570825620197e+01 1.906949289940554948e+01
1.951108040415194012e+01 1.958879028511601561e+01
1.997547058053441660e+01 1.993572176784864070e+01
2.018585316301052046e+01 2.007264577451861243e+01
2.011958573163581576e+01 1.998490243364251029e+01
1.977179192751781756e+01 1.966068435168097039e+01
1.915673847518452533e+01 1.910176855197693868e+01
1.830509627201178446e+01 1.832878975160208412e+01
1.723587628878033939e+01 1.735911401857039849e+01
1.597882271193425829e+01 1.620853193324408181e+01
1.460419010915922478e+01 1.493713892747403094e+01
1.323793958388483105e+01 1.365831941159965623e+01
1.192681828467287275e+01 1.240677270915471553e+01
1.067981227866523142e+01 1.117348871808570010e+01
9.552902552360089672e+00 1.001106421083056119e+01
8.644271393013482907e+00 9.026078294573238736e+00
7.939419298688742188e+00 8.192685925501564270e+00
7.526612814038542432e+00 7.622641711879037274e+00
7.409766578808831383e+00 7.360179662924082322e+00
7.460662211119886145e+00 7.268245295308941145e+00
7.623231145977901413e+00 7.366888873940148130e+00
7.835818515792214001e+00 7.622894392969333133e+00
8.045394807207417287e+00 7.966370855026879028e+00
8.246885774795359225e+00 8.324110242150222660e+00
8.395193075010723760e+00 8.591249336350536225e+00
8.355641934174864005e+00 8.614771115651382871e+00
7.992578566765324410e+00 8.308512823212108600e+00
7.297138771703682636e+00 7.738956447311359454e+00
6.529491795918573871e+00 7.194352439082332573e+00
5.974756967132567098e+00 6.899690423121187521e+00
